season_id,title,play_count,danmaku_count,coins,favorites,score,total_count,week,newest_ep_index,is_finish,area,arealimit,pub_time,season_status,copyright,tags,actor
5039,OZMAFIA!!,1958109,22873,1818,143115,,12,3,12,2,日本,0,2016-07-06 23:00:00,2,dujia,泡面 日常 萌系,新垣樽助 兴津和幸 梯笃司 市来光弘 桐本拓哉 井口祐一 峰岸佳 高桥英则
3527,逆转裁判,10453216,697966,28476,289521,7.7,24,6,24,2,日本,0,2016-04-02 00:00:01,2,bilibili,智斗 推理 游戏改 职场,梶裕貴 悠木碧 玉木雅士 中村千絵 奈良徹 岩崎征実
5598,小白角,10595,1486,47,1764,,1,6,1,2,日本,0,1981-03-14 00:00:01,2,ugc,,
5568,BURN-UP,5454,38,4,887,,1,4,1,2,日本,0,1991-03-21 00:00:01,2,ugc,,伊藤美紀 西原久美子 柴田由美子
5481,战地启示录,16644,635,41,1557,,3,5,3,2,日本,0,1993-10-22 00:00:01,2,ugc,,
5454,最终幻想15 兄弟情,964728,8240,842,54553,,5,4,5,2,日本,0,2016-03-31 00:00:01,2,ugc,奇幻 游戏改,
5064,Thunderbolt Fantasy 东离剑游纪,11145640,320594,47707,338924,9.6,13,5,13,2,日本,0,2016-07-08 22:00:00,2,dujia,奇幻 战斗,田中敦子 鸟海浩辅 诹访部顺一 中原麻衣 小山力也
5465,注视着你,7127,105,10,1287,,2,1,2,2,日本,0,2000-12-25 00:00:01,2,ugc,奇幻,
5476,手冢治虫的佛陀：永无止境之旅,127384,3932,152,9249,,1,6,1,2,日本,0,2014-02-08 00:00:01,2,ugc,历史,
5018,初恋怪兽,8219732,564861,13799,563436,7.2,12,6,12,2,日本,0,2016-07-02 23:30:00,2,bilibili,日常 校园,樱井孝宏 堀江由衣 森久保祥太郎 杉田智和 村濑步 冈本信彦 石川界人 铃村健一 津田健次郎 ..
2990,恐怖！僵尸猫,5898279,37084,4632,95821,,52,5,52,2,日本,0,2015-10-01 01:05:00,2,dujia,日常 治愈 萌系,平山笑美 平山笑美
5017,食戟之灵 贰之皿,48790979,1086152,127494,1663444,9.0,13,6,13,2,日本,0,2016-07-02 22:00:00,2,bilibili,热血 美食,松冈祯丞 种田梨沙 高桥未奈美 诹访部顺一 冈本信彦 花江夏树 大西沙织 赤崎千夏
5574,光晕：传奇,336801,9762,337,12773,,8,2,8,2,美国,0,2010-02-16 00:00:01,2,ugc,科幻,
5471,玩偶游戏,29065,371,21,2610,,1,6,1,2,日本,0,1995-12-16 00:00:01,2,ugc,,
4686,枪神剧场版,113451,2184,254,14702,,1,6,1,2,日本,0,2010-04-24 00:00:01,2,ugc,战斗,小野坂昌也 速水奨 鶴ひろみ
5043,这个美术社大有问题！,16028974,685260,54924,783134,9.2,12,5,12,2,日本,0,2016-07-08 03:00:00,2,bilibili,日常 校园,小泽亚李 小林裕介 上坂堇 东山奈央 水树奈奈 利根健太朗 德井青空 田中爱美 小松未可子 佐仓绫音
3551,黑色残骸,6870260,145012,10889,184813,8.0,26,-1,26,2,日本,0,2016-04-07 00:00:01,2,ugc,科幻 战斗 机战,阿座上洋平 M·A·O 上田丽奈 濑户麻沙美 石川界人 小林裕介 武内骏辅
5578,八田与一传,4983,67,5,1154,,1,6,3,2,日本,0,2008-11-15 00:00:01,2,ugc,,
5029,天真与闪电,7910176,306072,26131,466074,9.0,12,2,12,2,日本,0,2016-07-05 01:05:00,2,bilibili,日常 治愈 萌系,中村悠一 早见沙织 远藤璃菜 户松遥 关智一
5475,秋叶原电脑组 2011年的暑假,8740,57,6,1065,,1,6,1,2,日本,0,1999-08-14 00:00:01,2,ugc,,
5066,屁屁吾郎,5313014,71219,4101,128763,8.5,13,0,13,2,日本,0,2016-07-03 00:47:00,2,dujia,泡面 日常 猎奇,
3237,英国一家 吃在正月,51248,2047,164,13382,,1,-1,1,2,日本,0,2016-01-02 00:00:01,2,dujia,日常 美食,竹本英史 满仲由纪子 广桥凉 徳山靖彦
5484,梦物语,30003,567,29,5202,,12,4,12,2,日本,0,2004-01-08 00:00:01,2,ugc,游戏改,福圓美里 田中かほり 仲西環 浅野真澄 有島モユ
946,腹黑妹妹控兄记,2320601,110246,2967,196203,8.5,13,0,13,2,日本,0,2011-01-08 00:00:00,2,ugc,后宫 日常,豊永利行 喜多村英梨 立花慎之介 荻原秀樹 大原さやか 白石涼子 中村繪里子 井上麻里奈 荒浪和沙
5030,驱魔少年 HALLOW,8870993,156435,20638,597139,8.9,13,2,13,2,日本,0,2016-07-05 01:35:00,13,bilibili,热血 奇幻 战斗,村濑步 佐藤拓也 花江夏树 加隈亚衣 立花慎之介 青山穣 西田雅一 近藤唯 保志总一朗 阿尔玛=卡尔..
5028,SHOW BY ROCK!! Short!!,1194984,9045,1344,78287,,12,2,12,2,日本,0,2016-07-05 00:15:00,2,dujia,泡面 搞笑 音乐 萌系,上坂堇 佐仓绫音 沼仓爱美 谷山纪章 内山昂辉 柿原彻也 细谷佳正 早见沙织 松井惠理子 潘惠美 宫野真守 村濑步 逢坂..
5565,街角的童话,37225,1106,88,14185,,1,6,1,2,日本,0,1984-07-21 00:00:01,2,ugc,原创,
191,请问您今天要来点兔子吗？,3910454,220648,13224,689072,9.4,12,5,12,2,日本,0,2014-04-10 00:00:00,2,dujia,日常 治愈 萌系 美食,佐倉綾音 水濑祈 種田梨沙 佐藤聡美 内田真礼 徳井青空 村川梨衣 早見沙織 速水奨
5046,藍海少女（僅限台灣地區）,29229,2548,205,13592,,13,5,12,2,日本,0,2016-07-08 00:00:01,2,bilibili,百合 日常 运动 校园 漫改,鈴木繪理 茅野愛衣 大西沙織 梅原裕一郎 伊藤靜 久保由利香 井上喜久子
4778,我家三姐妹,17580,201,16,2172,,13,-1,42,2,日本,0,2008-04-08 00:00:01,2,ugc,萌系,大谷育江 金井美香 川田妙子 藤村知可 辻谷耕史
5020,Rewrite,23387486,667631,58315,1019932,7.6,13,0,13,2,日本,0,2016-07-03 00:00:00,2,dujia,奇幻 校园,森田成一 斋藤千和 筱宫沙弥 喜多村英梨 铃木惠子 朝树里沙 花泽香菜 小西克幸 柳田淳一 田中凉..
5485,当女孩遇到熊,160987,2051,171,30661,,2,-1,2,2,日本,0,2016-06-24 00:00:01,2,ugc,日常 治愈,日岡なつみ 安元洋貴 興津和幸 喜多村英梨 石上静香 朝井彩加 三瓶由布子 内藤玲 高桑満
5582,天使之卵,125225,4889,390,18301,,1,-1,1,2,日本,0,1985-12-22 00:00:01,2,ugc,,兵藤まこ
5037,红伤骑士X,1868960,43741,1280,179201,,12,3,12,2,日本,0,2016-07-06 01:35:00,13,bilibili,科幻 声控 乙女,清水彩香 铃木达央 宫野真守 近藤隆 下野纮 高桥广树 KENN
5496,彼得潘的冒险,9443,0,6,1586,,41,-1,41,2,日本,0,1989-01-15 00:00:01,2,ugc,,日高范子 松井菜樱子 羽村京子 渊崎有里子 岛本须美
5569,超级马力欧兄弟 拯救桃子公主大作战！,33615,1411,47,1692,,1,6,1,2,日本,0,1986-01-01 00:00:01,2,ugc,漫改,水島裕 古谷徹
